天使爱美丽,52,8.7,482229人评价,法式小清新。 ,https://movie.douban.com/subject/1292215/
美国往事,53,9.1,174462人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
辩护人,54,9.1,202020人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女,55,9.0,196270人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
钢琴家,56,9.0,202680人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
七宗罪,57,8.7,434589人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
狮子王,58,8.9,280896人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
被嫌弃的松子的一生,59,8.9,280897人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
致命魔术,60,8.8,342162人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
小鞋子,61,9.2,135980人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
勇敢的心,62,8.8,294723人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/
疯狂动物城,63,9.2,493393人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/
剪刀手爱德华,64,8.7,482044人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
音乐之声,65,8.9,230915人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
低俗小说,66,8.7,332351人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/
素媛,67,9.1,175059人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
本杰明·巴顿奇事,68,8.7,391047人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
入殓师,69,8.8,317324人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
沉默的羔羊,70,8.7,350896人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
黑客帝国,71,8.8,278483人评价,视觉革命。,https://movie.douban.com/subject/1291843/
拯救大兵瑞恩,72,8.8,235332人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
西西里的美丽传说,73,8.7,343937人评价,美丽无罪。,https://movie.douban.com/subject/1292402/
玛丽和马克思,74,8.9,231322人评价,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
蝴蝶效应,75,8.7,378613人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
心灵捕手,76,8.7,267650人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
春光乍泄,77,8.8,242717人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
让子弹飞,78,8.7,616690人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
幽灵公主,79,8.8,232255人评价,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
